# /home/semlav/semLAV/results/data510viewsSemLAV.dat
# Query	"Answer Size"	"Wrapper Time (secs)"	"Graph Creation Time (secs)"	"Execution Time (secs)"	"Total Execution Time (secs)"	"Time First Answer"	"Answer Percentage"	"Views or Rewritings considered"	"Maximal Memory Used (triples)"	"Throughput (# answers/millisec)"	"Graph Union Size (in MB)"	"How many times was Q executed"
1	0	185164	15183	575727	605012	23709	0	64	909157	0.0	231	5
2	598635	2829149	230128	307816	603821	324039	100	314	5635159	0.9914113619764798	1288	26
3	159188	3451917	292603	228096	655695	575358	38	451	6330138	0.24277751088539642	1741	34
4	287	2737285	254803	10407	341321	124953	100	374	5850915	8.408506948004958E-4	1335	37
5	564220	2581385	212194	266849	511234	115862	100	374	5850915	1.1036433414053055	1335	33
6	197112	2379916	180063	44247	292586	102099	100	136	3619079	0.6736891033747343	1110	17
7	227842	4117756	351334	283191	655802	138150	100	305	5408718	0.3474249849802227	1242	30
8	564220	2185330	215229	113495	334347	30710	100	136	4555604	1.6875282266627187	1015	15
9	28211	9078	1044	537	2337	1470	100	34	169839	12.071459135643988	62	3
10	2993175	2886845	203261	385573	601188	21384	100	408	5850915	4.978767041258308	1335	30
11	2993175	342087	35722	116361	160211	19648	100	136	843892	18.682705931552764	189	13
12	598635	2890845	234868	127950	371408	14519	100	408	5850915	1.6117988842458968	1335	32
13	598635	2806669	241793	144353	392277	41747	100	408	5850915	1.5260517440482109	1335	31
14	564220	2503027	190514	68276	337399	163139	100	272	5408718	1.672263403270312	1242	23
15	282110	2444346	225696	245667	479140	11660	100	442	6330137	0.5887840714613682	1741	36
16	282110	2047924	172045	165479	341568	9404	100	136	3619079	0.8259263162825558	1110	13
17	197112	2436873	165533	43796	259518	4142	100	136	3619079	0.7595311307886158	1110	19
18	564220	2854894	246105	272905	601641	259118	100	365	5850118	0.9378017788016442	1335	32
1	0	185164	15183	575727	605012	23709	0	64	909157	0.0	231	5
2	598635	2829149	230128	307816	603821	324039	100	314	5635159	0.9914113619764798	1288	26
3	159188	3451917	292603	228096	655695	575358	38	451	6330138	0.24277751088539642	1741	34
4	287	2737285	254803	10407	341321	124953	100	374	5850915	8.408506948004958E-4	1335	37
5	564220	2581385	212194	266849	511234	115862	100	374	5850915	1.1036433414053055	1335	33
6	197112	2379916	180063	44247	292586	102099	100	136	3619079	0.6736891033747343	1110	17
7	227842	4117756	351334	283191	655802	138150	100	305	5408718	0.3474249849802227	1242	30
8	564220	2185330	215229	113495	334347	30710	100	136	4555604	1.6875282266627187	1015	15
10	2993175	2886845	203261	385573	601188	21384	100	408	5850915	4.978767041258308	1335	30
11	2993175	342087	35722	116361	160211	19648	100	136	843892	18.682705931552764	189	13
12	598635	2890845	234868	127950	371408	14519	100	408	5850915	1.6117988842458968	1335	32
13	598635	2806669	241793	144353	392277	41747	100	408	5850915	1.5260517440482109	1335	31
14	564220	2503027	190514	68276	337399	163139	100	272	5408718	1.672263403270312	1242	23
15	282110	2444346	225696	245667	479140	11660	100	442	6330137	0.5887840714613682	1741	36
16	282110	2047924	172045	165479	341568	9404	100	136	3619079	0.8259263162825558	1110	13
17	197112	2436873	165533	43796	259518	4142	100	136	3619079	0.7595311307886158	1110	19
18	564220	2854894	246105	272905	601641	259118	100	365	5850118	0.9378017788016442	1335	32
9	28211	9859	988	703	2294	1304	100	34	169839	12.297733217088055	62	5
